k,gamma,Entropy,Complexity
16,1.58,0.9999736786197926,2.5971613979711422e-05
128,1.58,0.9697594941948857,0.02824069267656026
4,1.58,0.9999310223430149,6.822057799773985e-05
2,1.58,0.999964177231438,3.539621677679176e-05
1,1.58,0.9999437933603529,5.539008992041185e-05
8,1.58,0.9999805277967758,1.9209793894515166e-05
1,1.64,0.9999504590741332,4.889990865639249e-05
2,1.64,0.9999775725915188,2.2121053082635052e-05
4,1.64,0.9999611916397733,3.831019489252296e-05
8,1.64,0.9999511323838483,4.812215127651933e-05
16,1.64,0.9999803185852713,1.942263917745682e-05
32,1.64,0.9999012296445464,9.72209962388715e-05
64,1.64,0.9943606695976249,0.00545385485201924
128,1.64,0.972431653136271,0.025830499021439027
32,1.7,0.9999582630105177,4.110852028831484e-05
128,1.7,0.9742106784511573,0.02421360362473984
64,1.7,0.9949340944924215,0.004905120063641845
16,1.7,0.9999610718670254,3.840812249398324e-05
8,1.7,0.9999162787616683,8.263604060202981e-05
4,1.7,0.9999416073171947,5.7705150669449035e-05
2,1.7,0.9999364270883165,6.291765437492632e-05
1,1.7,0.999916585460878,8.268946974343891e-05
64,1.76,0.9964953106509846,0.0034072528478114347
32,1.76,0.9999793483461316,2.03685440466819e-05
16,1.76,0.9999530144799164,4.636380372433442e-05
128,1.76,0.9746056687822318,0.023857634028843187
4,1.76,0.9999692969532191,3.030599629995365e-05
2,1.76,0.9999654904577092,3.410291345962819e-05
1,1.76,0.9999499474205661,4.9348233076560726e-05
8,1.76,0.9999670666596728,3.248862324296348e-05
1,1.82,0.9999703064714041,2.932904394506914e-05
2,1.82,0.9999351820563955,6.399579377373125e-05
4,1.82,0.999970200363748,2.9416710030252273e-05
8,1.82,0.999931547445393,6.772800672113286e-05
16,1.82,0.9999075140842535,9.156134506664194e-05
32,1.82,0.9999548388192913,4.458492266792955e-05
64,1.82,0.996974985574503,0.0029438186095442874
128,1.82,0.977812561249298,0.02093084053934679
32,1.88,0.9999686279477009,3.0957053299172694e-05
64,1.88,0.9972838608642078,0.0026444765957827584
16,1.88,0.9999615187647966,3.808885224351583e-05
128,1.88,0.9788719428273096,0.01995695973116869
4,1.88,0.9999521652956931,4.7305422499630464e-05
2,1.88,0.9999573168245884,4.216968383287022e-05
1,1.88,0.9998799536683592,0.00011855912030094808
8,1.88,0.999973264323957,2.6402091482261584e-05
64,1.93,0.9977433053692327,0.0022002784098358093
32,1.93,0.9999588106051797,4.071059972544444e-05
16,1.93,0.999852576790379,0.00014568559239223571
128,1.93,0.9801851946314188,0.018748139667377386
4,1.93,0.9999174972915964,8.172447891037203e-05
2,1.93,0.9998487046776021,0.0001489920531722689
1,1.93,0.9999760201100723,2.3639875250719278e-05
8,1.93,0.9998694746482576,0.00012868740899738953
1,1.99,0.9999598899099684,3.951171235825011e-05
2,1.99,0.9999815801268209,1.8179569829527822e-05
4,1.99,0.9999391226406207,6.005243363424533e-05
8,1.99,0.9999530255955627,4.6496782035936067e-05
16,1.99,0.9999635209430784,3.6022977414303426e-05
32,1.99,0.9999482134302764,5.115258742645848e-05
64,1.99,0.9980855735831261,0.0018691961623633
128,1.99,0.9824595373092766,0.016652562428410036
32,2.05,0.9999305374555866,6.863644855773045e-05
64,2.05,0.9985797875547301,0.0013885592135451463
16,2.05,0.9999484449290402,5.088789781845635e-05
128,2.05,0.9835171568998967,0.01566953628692903
4,2.05,0.9999728305614111,2.6842725680566566e-05
2,2.05,0.999828076685599,0.00016977666066200496
1,2.05,0.9999354409595428,6.371441273293692e-05
8,2.05,0.9998739149616144,0.00012427318611542927
1,2.11,0.9999578609215378,4.1670265585488225e-05
2,2.11,0.9999511189910119,4.828828189675179e-05
4,2.11,0.9999531389652636,4.6214218788867484e-05
8,2.11,0.9999606336841643,3.892495212886514e-05
16,2.11,0.9999723112555625,2.7344127316008418e-05
32,2.11,0.9999608437295718,3.865042838306602e-05
64,2.11,0.9986600988327173,0.0013099198434923117
128,2.11,0.9855291472852534,0.013790500573647502
128,2.17,0.9871511570950309,0.012278839903130124
64,2.17,0.9989201035240463,0.001055358210265484
32,2.17,0.9999601141613824,3.945308393447292e-05
16,2.17,0.9998807718391244,0.00011766258098299886
8,2.17,0.9999060213786598,9.258018293347216e-05
2,2.17,0.9999542909645723,4.50905252530822e-05
1,2.17,0.999930532187245,6.858913447326e-05
4,2.17,0.9999349556330954,6.408607012492424e-05
1,2.23,0.9998815304466979,0.0001170913072552588
2,2.23,0.9999223419710962,7.656560369187193e-05
4,2.23,0.9999552010904025,4.419805757623157e-05
8,2.23,0.9999492244776771,5.0124232705150894e-05
16,2.23,0.9999674678421073,3.207029727484481e-05
32,2.23,0.9999224472913757,7.644407817183874e-05
64,2.23,0.9989746307520655,0.001004301404668851
128,2.23,0.9868351632097728,0.012573526453263957
32,2.29,0.9999573773554821,4.205303361861427e-05
64,2.29,0.9991037882127409,0.0008770949550920482
128,2.29,0.9877135699446944,0.01174950926378684
16,2.29,0.9999350856932837,6.40352069232016e-05
2,2.29,0.9999814893346877,1.8263535026073552e-05
4,2.29,0.9999695627999846,3.007537152944379e-05
1,2.29,0.9999645926444531,3.492585742704149e-05
8,2.29,0.9999505440435535,4.8889366546333615e-05
1,2.35,0.9999088155161354,9.012566959758615e-05
2,2.35,0.9999625203903099,3.6958699612251975e-05
4,2.35,0.9999679917128443,3.160358972839474e-05
8,2.35,0.9999357177681474,6.340426557455919e-05
16,2.35,0.9999274610307965,7.136449324384294e-05
32,2.35,0.9999699612036108,2.9649188217238677e-05
64,2.35,0.999379480146673,0.0006082210065437684
128,2.35,0.9889324875070781,0.010606940316532228
128,2.41,0.989911349218672,0.009683802402678823
64,2.41,0.9993788127491776,0.0006081063727630743
32,2.41,0.9999629523416939,3.666079473467472e-05
16,2.41,0.9999606942321336,3.8824066179558076e-05
1,2.41,0.9998609599852455,0.00013756882507656457
4,2.41,0.9999179041891761,8.097503276536056e-05
2,2.41,0.9999819334853317,1.7828307920932624e-05
8,2.41,0.9999502840849476,4.9082897471295335e-05
32,2.47,0.9999810732501996,1.8662954315323286e-05
128,2.47,0.9908269120200743,0.008809326196574587
64,2.47,0.9995412556361345,0.0004494099924973758
16,2.47,0.9999651738303899,3.436644195844567e-05
8,2.47,0.9999343370561313,6.463247394370443e-05
4,2.47,0.9999697887115008,2.9806528594851357e-05
2,2.47,0.9999503720512832,4.909846820247889e-05
1,2.47,0.9999177948170017,8.100188517043274e-05
64,2.53,0.9996004448305364,0.0003914650771204055
32,2.53,0.9998514504421103,0.00014675020031366874
16,2.53,0.9998888652670951,0.0001097674687868465
128,2.53,0.9912249510512067,0.00843844140014752
4,2.53,0.9999530333513474,4.626844131740811e-05
2,2.53,0.9999227545363528,7.623110968722539e-05
1,2.53,0.999963125254422,3.635328263226617e-05
8,2.53,0.9999291496023757,6.99378571992237e-05
1,2.59,0.9999742830502077,2.536830426463778e-05
2,2.59,0.9998953742116207,0.00010313123362975417
4,2.59,0.9998695191074685,0.00012892836251952806
8,2.59,0.9999529041894688,4.645151199925858e-05
16,2.59,0.9999205704486861,7.835994272769009e-05
32,2.59,0.9999526750261186,4.673160448318076e-05
64,2.59,0.9996885860147011,0.00030556503311178604
128,2.59,0.9927460699236135,0.006996153510689026
32,2.64,0.9999681101592647,3.15250480837094e-05
128,2.64,0.9927578710401225,0.006982524463388753
16,2.64,0.9999733442509618,2.6324898514926166e-05
64,2.64,0.9997306439661209,0.00026454650753340907
4,2.64,0.9999723059707751,2.7379515339171086e-05
2,2.64,0.9999046656221122,9.406397756589084e-05
1,2.64,0.9999103104095377,8.86756707370507e-05
8,2.64,0.9998985911383252,0.00010021142963715038
64,2.7,0.9997300409667768,0.00026453880613537415
32,2.7,0.9998424224401831,0.00015631265286162533
16,2.7,0.9999635394486821,3.594151398934243e-05
128,2.7,0.9937464382660225,0.006036642825850179
4,2.7,0.9999650003046575,3.446793760018506e-05
2,2.7,0.9999674506910461,3.208204961312369e-05
1,2.7,0.9999270512451853,7.205465287048193e-05
8,2.7,0.9999284827221899,7.046534189005613e-05
1,2.76,0.9999648750355332,3.470768072943088e-05
2,2.76,0.999963998898605,3.556807255937216e-05
4,2.76,0.9999087170453387,9.009205897141731e-05
8,2.76,0.9999626886461446,3.6829457958452115e-05
16,2.76,0.9999682383172926,3.13356536008475e-05
32,2.76,0.9999648838711139,3.472430713092938e-05
64,2.76,0.9997173178391257,0.0002768126437171962
128,2.76,0.9939823614413219,0.005811344621067297
128,2.82,0.9941308000113277,0.005664383074340959
64,2.82,0.9996964175857181,0.0002969525127885346
16,2.82,0.9999209593317449,7.831775046274669e-05
32,2.82,0.9998424306467035,0.00015540121527144054
4,2.82,0.9999378158343121,6.128890984590807e-05
2,2.82,0.9999538830308533,4.556990830793354e-05
1,2.82,0.9999477677881883,5.134656940205428e-05
8,2.82,0.9999335003828541,6.563352607885995e-05
1,2.88,0.9999747685757994,2.4934239847619784e-05
2,2.88,0.9999557302066203,4.361982992030214e-05
4,2.88,0.9999561631413075,4.317206626840637e-05
8,2.88,0.9999159671739988,8.3024005560474e-05
16,2.88,0.9999594859150965,3.998155542148842e-05
32,2.88,0.9999222899526808,7.650908956036296e-05
64,2.88,0.9998903679809651,0.00010782250045035418
128,2.88,0.9955238687910214,0.0043403526766670865
128,2.94,0.9957261721034912,0.0041450804548716835
64,2.94,0.9998853664527902,0.000112751062201681
32,2.94,0.9999394449653338,5.971949239269279e-05
16,2.94,0.9998763947075884,0.00012177385474991766
2,2.94,0.999934702908339,6.467152836612066e-05
4,2.94,0.9998802432414263,0.00011768670944441345
1,2.94,0.9999573253900931,4.207460256568966e-05
8,2.94,0.999958617060232,4.0818127312466214e-05
64,3.0,0.9999325653610556,6.631654577638194e-05
1,3.0,0.9998580591017664,0.0001403399703514852
2,3.0,0.9999740702487571,2.55994255180115e-05
4,3.0,0.9999614982431971,3.802747872819736e-05
8,3.0,0.9999635650091924,3.596467217332673e-05
16,3.0,0.999978757768457,2.096698733352453e-05
32,3.0,0.9999498110133757,4.939242195604243e-05
128,3.0,0.9961587249074401,0.003728861253698058
